# phi_b	z_b	k
2.356194490192344837e+00	-1.000000000000000000e+00	2.860000000000000000e+02
2.356194490192344837e+00	-7.500000000000000000e-01	2.610000000000000000e+02
2.356194490192344837e+00	-5.000000000000000000e-01	2.240000000000000000e+02
2.356194490192344837e+00	-2.500000000000000000e-01	1.840000000000000000e+02
2.356194490192344837e+00	0.000000000000000000e+00	1.620000000000000000e+02
2.356194490192344837e+00	2.500000000000000000e-01	1.160000000000000000e+02
2.356194490192344837e+00	5.000000000000000000e-01	9.200000000000000000e+01
2.356194490192344837e+00	7.500000000000000000e-01	4.900000000000000000e+01
2.356194490192344837e+00	1.000000000000000000e+00	2.000000000000000000e+01
3.141592653589793116e+00	-1.000000000000000000e+00	2.890000000000000000e+02
3.141592653589793116e+00	-7.500000000000000000e-01	2.630000000000000000e+02
3.141592653589793116e+00	-5.000000000000000000e-01	2.160000000000000000e+02
3.141592653589793116e+00	-2.500000000000000000e-01	1.990000000000000000e+02
3.141592653589793116e+00	0.000000000000000000e+00	1.640000000000000000e+02
3.141592653589793116e+00	2.500000000000000000e-01	1.210000000000000000e+02
3.141592653589793116e+00	5.000000000000000000e-01	7.400000000000000000e+01
3.141592653589793116e+00	7.500000000000000000e-01	4.800000000000000000e+01
3.141592653589793116e+00	1.000000000000000000e+00	1.700000000000000000e+01
3.926990816987241395e+00	-1.000000000000000000e+00	2.880000000000000000e+02
3.926990816987241395e+00	-7.500000000000000000e-01	2.670000000000000000e+02
3.926990816987241395e+00	-5.000000000000000000e-01	2.200000000000000000e+02
3.926990816987241395e+00	-2.500000000000000000e-01	1.780000000000000000e+02
3.926990816987241395e+00	0.000000000000000000e+00	1.470000000000000000e+02
3.926990816987241395e+00	2.500000000000000000e-01	1.130000000000000000e+02
3.926990816987241395e+00	5.000000000000000000e-01	7.800000000000000000e+01
3.926990816987241395e+00	7.500000000000000000e-01	5.300000000000000000e+01
3.926990816987241395e+00	1.000000000000000000e+00	2.200000000000000000e+01
4.712388980384689674e+00	-1.000000000000000000e+00	2.940000000000000000e+02
4.712388980384689674e+00	-7.500000000000000000e-01	2.560000000000000000e+02
4.712388980384689674e+00	-5.000000000000000000e-01	2.160000000000000000e+02
4.712388980384689674e+00	-2.500000000000000000e-01	1.870000000000000000e+02
4.712388980384689674e+00	0.000000000000000000e+00	1.500000000000000000e+02
4.712388980384689674e+00	2.500000000000000000e-01	1.220000000000000000e+02
4.712388980384689674e+00	5.000000000000000000e-01	9.000000000000000000e+01
4.712388980384689674e+00	7.500000000000000000e-01	6.200000000000000000e+01
4.712388980384689674e+00	1.000000000000000000e+00	2.600000000000000000e+01
5.497787143782137953e+00	-1.000000000000000000e+00	2.900000000000000000e+02
5.497787143782137953e+00	-7.500000000000000000e-01	2.460000000000000000e+02
5.497787143782137953e+00	-5.000000000000000000e-01	2.240000000000000000e+02
5.497787143782137953e+00	-2.500000000000000000e-01	2.010000000000000000e+02
5.497787143782137953e+00	0.000000000000000000e+00	1.500000000000000000e+02
5.497787143782137953e+00	2.500000000000000000e-01	1.220000000000000000e+02
5.497787143782137953e+00	5.000000000000000000e-01	1.000000000000000000e+02
5.497787143782137953e+00	7.500000000000000000e-01	6.400000000000000000e+01
5.497787143782137953e+00	1.000000000000000000e+00	3.400000000000000000e+01
6.283185307179586232e+00	-1.000000000000000000e+00	2.940000000000000000e+02
6.283185307179586232e+00	-7.500000000000000000e-01	2.440000000000000000e+02
6.283185307179586232e+00	-5.000000000000000000e-01	2.230000000000000000e+02
6.283185307179586232e+00	-2.500000000000000000e-01	2.000000000000000000e+02
6.283185307179586232e+00	0.000000000000000000e+00	1.670000000000000000e+02
6.283185307179586232e+00	2.500000000000000000e-01	1.200000000000000000e+02
6.283185307179586232e+00	5.000000000000000000e-01	1.100000000000000000e+02
6.283185307179586232e+00	7.500000000000000000e-01	6.600000000000000000e+01
6.283185307179586232e+00	1.000000000000000000e+00	3.600000000000000000e+01
