# phi_b	z_b	k
0.000000000000000000e+00	-1.000000000000000000e+00	2.920000000000000000e+02
0.000000000000000000e+00	-7.500000000000000000e-01	2.620000000000000000e+02
0.000000000000000000e+00	-5.000000000000000000e-01	2.260000000000000000e+02
0.000000000000000000e+00	-2.500000000000000000e-01	1.770000000000000000e+02
0.000000000000000000e+00	0.000000000000000000e+00	1.550000000000000000e+02
0.000000000000000000e+00	2.500000000000000000e-01	1.250000000000000000e+02
0.000000000000000000e+00	5.000000000000000000e-01	7.800000000000000000e+01
0.000000000000000000e+00	7.500000000000000000e-01	4.500000000000000000e+01
0.000000000000000000e+00	1.000000000000000000e+00	1.700000000000000000e+01
7.853981633974482790e-01	-1.000000000000000000e+00	2.940000000000000000e+02
7.853981633974482790e-01	-7.500000000000000000e-01	2.550000000000000000e+02
7.853981633974482790e-01	-5.000000000000000000e-01	2.300000000000000000e+02
7.853981633974482790e-01	-2.500000000000000000e-01	1.910000000000000000e+02
7.853981633974482790e-01	0.000000000000000000e+00	1.640000000000000000e+02
7.853981633974482790e-01	2.500000000000000000e-01	1.100000000000000000e+02
7.853981633974482790e-01	5.000000000000000000e-01	9.000000000000000000e+01
7.853981633974482790e-01	7.500000000000000000e-01	4.900000000000000000e+01
7.853981633974482790e-01	1.000000000000000000e+00	1.800000000000000000e+01
1.570796326794896558e+00	-1.000000000000000000e+00	2.930000000000000000e+02
1.570796326794896558e+00	-7.500000000000000000e-01	2.580000000000000000e+02
1.570796326794896558e+00	-5.000000000000000000e-01	2.300000000000000000e+02
1.570796326794896558e+00	-2.500000000000000000e-01	1.900000000000000000e+02
1.570796326794896558e+00	0.000000000000000000e+00	1.520000000000000000e+02
1.570796326794896558e+00	2.500000000000000000e-01	1.240000000000000000e+02
1.570796326794896558e+00	5.000000000000000000e-01	1.090000000000000000e+02
1.570796326794896558e+00	7.500000000000000000e-01	6.200000000000000000e+01
1.570796326794896558e+00	1.000000000000000000e+00	1.700000000000000000e+01
