# phi_b	z_b	k
0.000000000000000000e+00	-1.000000000000000000e+00	2.780000000000000000e+02
0.000000000000000000e+00	-7.500000000000000000e-01	2.870000000000000000e+02
0.000000000000000000e+00	-5.000000000000000000e-01	2.720000000000000000e+02
0.000000000000000000e+00	-2.500000000000000000e-01	2.440000000000000000e+02
0.000000000000000000e+00	0.000000000000000000e+00	2.190000000000000000e+02
0.000000000000000000e+00	2.500000000000000000e-01	1.850000000000000000e+02
0.000000000000000000e+00	5.000000000000000000e-01	1.560000000000000000e+02
0.000000000000000000e+00	7.500000000000000000e-01	1.160000000000000000e+02
0.000000000000000000e+00	1.000000000000000000e+00	3.300000000000000000e+01
7.853981633974482790e-01	-1.000000000000000000e+00	2.740000000000000000e+02
7.853981633974482790e-01	-7.500000000000000000e-01	2.840000000000000000e+02
7.853981633974482790e-01	-5.000000000000000000e-01	2.470000000000000000e+02
7.853981633974482790e-01	-2.500000000000000000e-01	2.180000000000000000e+02
7.853981633974482790e-01	0.000000000000000000e+00	1.920000000000000000e+02
7.853981633974482790e-01	2.500000000000000000e-01	1.550000000000000000e+02
7.853981633974482790e-01	5.000000000000000000e-01	1.330000000000000000e+02
7.853981633974482790e-01	7.500000000000000000e-01	8.000000000000000000e+01
7.853981633974482790e-01	1.000000000000000000e+00	5.000000000000000000e+01
1.570796326794896558e+00	-1.000000000000000000e+00	2.720000000000000000e+02
1.570796326794896558e+00	-7.500000000000000000e-01	2.300000000000000000e+02
1.570796326794896558e+00	-5.000000000000000000e-01	2.240000000000000000e+02
1.570796326794896558e+00	-2.500000000000000000e-01	1.840000000000000000e+02
1.570796326794896558e+00	0.000000000000000000e+00	1.480000000000000000e+02
1.570796326794896558e+00	2.500000000000000000e-01	1.230000000000000000e+02
1.570796326794896558e+00	5.000000000000000000e-01	1.090000000000000000e+02
1.570796326794896558e+00	7.500000000000000000e-01	6.800000000000000000e+01
1.570796326794896558e+00	1.000000000000000000e+00	3.400000000000000000e+01
2.356194490192344837e+00	-1.000000000000000000e+00	2.820000000000000000e+02
2.356194490192344837e+00	-7.500000000000000000e-01	2.150000000000000000e+02
