# phi_b	z_b	k
0.000000000000000000e+00	-1.000000000000000000e+00	3.100000000000000000e+01
0.000000000000000000e+00	-7.500000000000000000e-01	1.030000000000000000e+02
0.000000000000000000e+00	-5.000000000000000000e-01	1.520000000000000000e+02
0.000000000000000000e+00	-2.500000000000000000e-01	1.690000000000000000e+02
0.000000000000000000e+00	0.000000000000000000e+00	2.140000000000000000e+02
0.000000000000000000e+00	2.500000000000000000e-01	2.320000000000000000e+02
0.000000000000000000e+00	5.000000000000000000e-01	2.630000000000000000e+02
0.000000000000000000e+00	7.500000000000000000e-01	2.790000000000000000e+02
0.000000000000000000e+00	1.000000000000000000e+00	2.740000000000000000e+02
7.853981633974482790e-01	-1.000000000000000000e+00	3.300000000000000000e+01
7.853981633974482790e-01	-7.500000000000000000e-01	7.200000000000000000e+01
7.853981633974482790e-01	-5.000000000000000000e-01	1.400000000000000000e+02
7.853981633974482790e-01	-2.500000000000000000e-01	1.520000000000000000e+02
7.853981633974482790e-01	0.000000000000000000e+00	2.110000000000000000e+02
7.853981633974482790e-01	2.500000000000000000e-01	2.310000000000000000e+02
7.853981633974482790e-01	5.000000000000000000e-01	2.510000000000000000e+02
7.853981633974482790e-01	7.500000000000000000e-01	2.720000000000000000e+02
7.853981633974482790e-01	1.000000000000000000e+00	2.740000000000000000e+02
1.570796326794896558e+00	-1.000000000000000000e+00	3.200000000000000000e+01
1.570796326794896558e+00	-7.500000000000000000e-01	6.000000000000000000e+01
1.570796326794896558e+00	-5.000000000000000000e-01	9.500000000000000000e+01
1.570796326794896558e+00	-2.500000000000000000e-01	1.180000000000000000e+02
1.570796326794896558e+00	0.000000000000000000e+00	1.500000000000000000e+02
1.570796326794896558e+00	2.500000000000000000e-01	1.980000000000000000e+02
1.570796326794896558e+00	5.000000000000000000e-01	2.040000000000000000e+02
1.570796326794896558e+00	7.500000000000000000e-01	2.470000000000000000e+02
1.570796326794896558e+00	1.000000000000000000e+00	2.690000000000000000e+02
2.356194490192344837e+00	-1.000000000000000000e+00	3.600000000000000000e+01
2.356194490192344837e+00	-7.500000000000000000e-01	4.000000000000000000e+01
2.356194490192344837e+00	-5.000000000000000000e-01	5.000000000000000000e+01
2.356194490192344837e+00	-2.500000000000000000e-01	9.300000000000000000e+01
2.356194490192344837e+00	0.000000000000000000e+00	1.140000000000000000e+02
2.356194490192344837e+00	2.500000000000000000e-01	1.470000000000000000e+02
2.356194490192344837e+00	5.000000000000000000e-01	1.910000000000000000e+02
2.356194490192344837e+00	7.500000000000000000e-01	2.190000000000000000e+02
2.356194490192344837e+00	1.000000000000000000e+00	2.700000000000000000e+02
3.141592653589793116e+00	-1.000000000000000000e+00	3.600000000000000000e+01
3.141592653589793116e+00	-7.500000000000000000e-01	2.100000000000000000e+01
3.141592653589793116e+00	-5.000000000000000000e-01	3.600000000000000000e+01
3.141592653589793116e+00	-2.500000000000000000e-01	6.200000000000000000e+01
3.141592653589793116e+00	0.000000000000000000e+00	9.000000000000000000e+01
3.141592653589793116e+00	2.500000000000000000e-01	1.080000000000000000e+02
3.141592653589793116e+00	5.000000000000000000e-01	1.500000000000000000e+02
3.141592653589793116e+00	7.500000000000000000e-01	1.960000000000000000e+02
3.141592653589793116e+00	1.000000000000000000e+00	2.810000000000000000e+02
3.926990816987241395e+00	-1.000000000000000000e+00	1.900000000000000000e+01
3.926990816987241395e+00	-7.500000000000000000e-01	3.700000000000000000e+01
3.926990816987241395e+00	-5.000000000000000000e-01	6.300000000000000000e+01
3.926990816987241395e+00	-2.500000000000000000e-01	7.200000000000000000e+01
3.926990816987241395e+00	0.000000000000000000e+00	1.070000000000000000e+02
3.926990816987241395e+00	2.500000000000000000e-01	1.450000000000000000e+02
3.926990816987241395e+00	5.000000000000000000e-01	1.820000000000000000e+02
3.926990816987241395e+00	7.500000000000000000e-01	2.040000000000000000e+02
3.926990816987241395e+00	1.000000000000000000e+00	2.750000000000000000e+02
4.712388980384689674e+00	-1.000000000000000000e+00	3.200000000000000000e+01
4.712388980384689674e+00	-7.500000000000000000e-01	5.500000000000000000e+01
4.712388980384689674e+00	-5.000000000000000000e-01	9.900000000000000000e+01
4.712388980384689674e+00	-2.500000000000000000e-01	1.190000000000000000e+02
4.712388980384689674e+00	0.000000000000000000e+00	1.430000000000000000e+02
4.712388980384689674e+00	2.500000000000000000e-01	1.780000000000000000e+02
4.712388980384689674e+00	5.000000000000000000e-01	2.140000000000000000e+02
4.712388980384689674e+00	7.500000000000000000e-01	2.400000000000000000e+02
4.712388980384689674e+00	1.000000000000000000e+00	2.690000000000000000e+02
5.497787143782137953e+00	-1.000000000000000000e+00	3.400000000000000000e+01
5.497787143782137953e+00	-7.500000000000000000e-01	9.600000000000000000e+01
5.497787143782137953e+00	-5.000000000000000000e-01	1.330000000000000000e+02
5.497787143782137953e+00	-2.500000000000000000e-01	1.820000000000000000e+02
5.497787143782137953e+00	0.000000000000000000e+00	2.020000000000000000e+02
5.497787143782137953e+00	2.500000000000000000e-01	2.260000000000000000e+02
5.497787143782137953e+00	5.000000000000000000e-01	2.560000000000000000e+02
5.497787143782137953e+00	7.500000000000000000e-01	2.690000000000000000e+02
5.497787143782137953e+00	1.000000000000000000e+00	2.790000000000000000e+02
6.283185307179586232e+00	-1.000000000000000000e+00	2.800000000000000000e+01
6.283185307179586232e+00	-7.500000000000000000e-01	1.110000000000000000e+02
6.283185307179586232e+00	-5.000000000000000000e-01	1.380000000000000000e+02
6.283185307179586232e+00	-2.500000000000000000e-01	1.800000000000000000e+02
6.283185307179586232e+00	0.000000000000000000e+00	2.090000000000000000e+02
6.283185307179586232e+00	2.500000000000000000e-01	2.430000000000000000e+02
6.283185307179586232e+00	5.000000000000000000e-01	2.660000000000000000e+02
6.283185307179586232e+00	7.500000000000000000e-01	2.810000000000000000e+02
6.283185307179586232e+00	1.000000000000000000e+00	2.790000000000000000e+02
