# phi_b	z_b	k
3.926990816987241395e+00	7.500000000000000000e-01	2.580000000000000000e+02
3.926990816987241395e+00	1.000000000000000000e+00	2.880000000000000000e+02
4.712388980384689674e+00	-1.000000000000000000e+00	1.900000000000000000e+01
4.712388980384689674e+00	-7.500000000000000000e-01	5.100000000000000000e+01
4.712388980384689674e+00	-5.000000000000000000e-01	9.500000000000000000e+01
4.712388980384689674e+00	-2.500000000000000000e-01	1.020000000000000000e+02
4.712388980384689674e+00	0.000000000000000000e+00	1.590000000000000000e+02
4.712388980384689674e+00	2.500000000000000000e-01	1.910000000000000000e+02
4.712388980384689674e+00	5.000000000000000000e-01	2.150000000000000000e+02
4.712388980384689674e+00	7.500000000000000000e-01	2.590000000000000000e+02
4.712388980384689674e+00	1.000000000000000000e+00	2.880000000000000000e+02
5.497787143782137953e+00	-1.000000000000000000e+00	1.200000000000000000e+01
5.497787143782137953e+00	-7.500000000000000000e-01	5.000000000000000000e+01
5.497787143782137953e+00	-5.000000000000000000e-01	8.400000000000000000e+01
5.497787143782137953e+00	-2.500000000000000000e-01	1.290000000000000000e+02
5.497787143782137953e+00	0.000000000000000000e+00	1.520000000000000000e+02
5.497787143782137953e+00	2.500000000000000000e-01	1.730000000000000000e+02
5.497787143782137953e+00	5.000000000000000000e-01	2.310000000000000000e+02
5.497787143782137953e+00	7.500000000000000000e-01	2.540000000000000000e+02
5.497787143782137953e+00	1.000000000000000000e+00	2.850000000000000000e+02
6.283185307179586232e+00	-1.000000000000000000e+00	2.100000000000000000e+01
6.283185307179586232e+00	-7.500000000000000000e-01	5.500000000000000000e+01
6.283185307179586232e+00	-5.000000000000000000e-01	8.700000000000000000e+01
6.283185307179586232e+00	-2.500000000000000000e-01	1.240000000000000000e+02
6.283185307179586232e+00	0.000000000000000000e+00	1.440000000000000000e+02
6.283185307179586232e+00	2.500000000000000000e-01	1.770000000000000000e+02
6.283185307179586232e+00	5.000000000000000000e-01	2.070000000000000000e+02
6.283185307179586232e+00	7.500000000000000000e-01	2.550000000000000000e+02
6.283185307179586232e+00	1.000000000000000000e+00	2.880000000000000000e+02
