# phi_b	z_b	k
0.000000000000000000e+00	-1.000000000000000000e+00	1.800000000000000000e+01
0.000000000000000000e+00	-7.500000000000000000e-01	5.400000000000000000e+01
0.000000000000000000e+00	-5.000000000000000000e-01	6.300000000000000000e+01
0.000000000000000000e+00	-2.500000000000000000e-01	1.250000000000000000e+02
0.000000000000000000e+00	0.000000000000000000e+00	1.400000000000000000e+02
0.000000000000000000e+00	2.500000000000000000e-01	1.840000000000000000e+02
0.000000000000000000e+00	5.000000000000000000e-01	2.230000000000000000e+02
0.000000000000000000e+00	7.500000000000000000e-01	2.690000000000000000e+02
0.000000000000000000e+00	1.000000000000000000e+00	2.890000000000000000e+02
7.853981633974482790e-01	-1.000000000000000000e+00	1.500000000000000000e+01
7.853981633974482790e-01	-7.500000000000000000e-01	5.200000000000000000e+01
7.853981633974482790e-01	-5.000000000000000000e-01	8.300000000000000000e+01
7.853981633974482790e-01	-2.500000000000000000e-01	1.130000000000000000e+02
7.853981633974482790e-01	0.000000000000000000e+00	1.570000000000000000e+02
7.853981633974482790e-01	2.500000000000000000e-01	1.970000000000000000e+02
7.853981633974482790e-01	5.000000000000000000e-01	2.210000000000000000e+02
7.853981633974482790e-01	7.500000000000000000e-01	2.520000000000000000e+02
7.853981633974482790e-01	1.000000000000000000e+00	2.840000000000000000e+02
1.570796326794896558e+00	-1.000000000000000000e+00	1.900000000000000000e+01
1.570796326794896558e+00	-7.500000000000000000e-01	4.600000000000000000e+01
1.570796326794896558e+00	-5.000000000000000000e-01	9.300000000000000000e+01
1.570796326794896558e+00	-2.500000000000000000e-01	1.260000000000000000e+02
1.570796326794896558e+00	0.000000000000000000e+00	1.570000000000000000e+02
1.570796326794896558e+00	2.500000000000000000e-01	1.760000000000000000e+02
1.570796326794896558e+00	5.000000000000000000e-01	2.140000000000000000e+02
1.570796326794896558e+00	7.500000000000000000e-01	2.560000000000000000e+02
1.570796326794896558e+00	1.000000000000000000e+00	2.910000000000000000e+02
2.356194490192344837e+00	-1.000000000000000000e+00	1.700000000000000000e+01
2.356194490192344837e+00	-7.500000000000000000e-01	5.100000000000000000e+01
2.356194490192344837e+00	-5.000000000000000000e-01	6.400000000000000000e+01
2.356194490192344837e+00	-2.500000000000000000e-01	1.230000000000000000e+02
2.356194490192344837e+00	0.000000000000000000e+00	1.450000000000000000e+02
2.356194490192344837e+00	2.500000000000000000e-01	1.870000000000000000e+02
2.356194490192344837e+00	5.000000000000000000e-01	2.190000000000000000e+02
2.356194490192344837e+00	7.500000000000000000e-01	2.520000000000000000e+02
2.356194490192344837e+00	1.000000000000000000e+00	2.910000000000000000e+02
3.141592653589793116e+00	-1.000000000000000000e+00	2.100000000000000000e+01
3.141592653589793116e+00	-7.500000000000000000e-01	3.900000000000000000e+01
3.141592653589793116e+00	-5.000000000000000000e-01	8.500000000000000000e+01
3.141592653589793116e+00	-2.500000000000000000e-01	1.140000000000000000e+02
3.141592653589793116e+00	0.000000000000000000e+00	1.670000000000000000e+02
3.141592653589793116e+00	2.500000000000000000e-01	1.950000000000000000e+02
3.141592653589793116e+00	5.000000000000000000e-01	2.240000000000000000e+02
3.141592653589793116e+00	7.500000000000000000e-01	2.520000000000000000e+02
3.141592653589793116e+00	1.000000000000000000e+00	2.900000000000000000e+02
3.926990816987241395e+00	-1.000000000000000000e+00	1.200000000000000000e+01
3.926990816987241395e+00	-7.500000000000000000e-01	5.600000000000000000e+01
3.926990816987241395e+00	-5.000000000000000000e-01	8.500000000000000000e+01
3.926990816987241395e+00	-2.500000000000000000e-01	1.280000000000000000e+02
3.926990816987241395e+00	0.000000000000000000e+00	1.590000000000000000e+02
3.926990816987241395e+00	2.500000000000000000e-01	1.840000000000000000e+02
3.926990816987241395e+00	5.000000000000000000e-01	2.280000000000000000e+02
