# phi_b	z_b	k
0.000000000000000000e+00	-1.000000000000000000e+00	8.600000000000000000e+01
0.000000000000000000e+00	-7.500000000000000000e-01	1.750000000000000000e+02
0.000000000000000000e+00	-5.000000000000000000e-01	2.320000000000000000e+02
0.000000000000000000e+00	-2.500000000000000000e-01	2.640000000000000000e+02
0.000000000000000000e+00	0.000000000000000000e+00	2.750000000000000000e+02
0.000000000000000000e+00	2.500000000000000000e-01	2.810000000000000000e+02
0.000000000000000000e+00	5.000000000000000000e-01	2.910000000000000000e+02
0.000000000000000000e+00	7.500000000000000000e-01	2.780000000000000000e+02
0.000000000000000000e+00	1.000000000000000000e+00	2.290000000000000000e+02
7.853981633974482790e-01	-1.000000000000000000e+00	9.100000000000000000e+01
7.853981633974482790e-01	-7.500000000000000000e-01	1.590000000000000000e+02
7.853981633974482790e-01	-5.000000000000000000e-01	1.880000000000000000e+02
7.853981633974482790e-01	-2.500000000000000000e-01	2.170000000000000000e+02
7.853981633974482790e-01	0.000000000000000000e+00	2.580000000000000000e+02
7.853981633974482790e-01	2.500000000000000000e-01	2.520000000000000000e+02
7.853981633974482790e-01	5.000000000000000000e-01	2.630000000000000000e+02
7.853981633974482790e-01	7.500000000000000000e-01	2.670000000000000000e+02
7.853981633974482790e-01	1.000000000000000000e+00	2.280000000000000000e+02
1.570796326794896558e+00	-1.000000000000000000e+00	9.800000000000000000e+01
1.570796326794896558e+00	-7.500000000000000000e-01	1.040000000000000000e+02
1.570796326794896558e+00	-5.000000000000000000e-01	1.120000000000000000e+02
1.570796326794896558e+00	-2.500000000000000000e-01	1.300000000000000000e+02
1.570796326794896558e+00	0.000000000000000000e+00	1.550000000000000000e+02
1.570796326794896558e+00	2.500000000000000000e-01	1.660000000000000000e+02
1.570796326794896558e+00	5.000000000000000000e-01	1.770000000000000000e+02
1.570796326794896558e+00	7.500000000000000000e-01	2.020000000000000000e+02
1.570796326794896558e+00	1.000000000000000000e+00	2.320000000000000000e+02
2.356194490192344837e+00	-1.000000000000000000e+00	9.400000000000000000e+01
2.356194490192344837e+00	-7.500000000000000000e-01	4.900000000000000000e+01
2.356194490192344837e+00	-5.000000000000000000e-01	4.700000000000000000e+01
2.356194490192344837e+00	-2.500000000000000000e-01	5.500000000000000000e+01
2.356194490192344837e+00	0.000000000000000000e+00	7.100000000000000000e+01
2.356194490192344837e+00	2.500000000000000000e-01	8.700000000000000000e+01
2.356194490192344837e+00	5.000000000000000000e-01	1.190000000000000000e+02
2.356194490192344837e+00	7.500000000000000000e-01	1.370000000000000000e+02
2.356194490192344837e+00	1.000000000000000000e+00	2.200000000000000000e+02
3.141592653589793116e+00	-1.000000000000000000e+00	8.200000000000000000e+01
3.141592653589793116e+00	-7.500000000000000000e-01	2.200000000000000000e+01
3.141592653589793116e+00	-5.000000000000000000e-01	2.600000000000000000e+01
3.141592653589793116e+00	-2.500000000000000000e-01	2.900000000000000000e+01
3.141592653589793116e+00	0.000000000000000000e+00	2.800000000000000000e+01
3.141592653589793116e+00	2.500000000000000000e-01	6.300000000000000000e+01
3.141592653589793116e+00	5.000000000000000000e-01	9.400000000000000000e+01
3.141592653589793116e+00	7.500000000000000000e-01	1.300000000000000000e+02
3.141592653589793116e+00	1.000000000000000000e+00	2.230000000000000000e+02
3.926990816987241395e+00	-1.000000000000000000e+00	7.700000000000000000e+01
3.926990816987241395e+00	-7.500000000000000000e-01	3.700000000000000000e+01
3.926990816987241395e+00	-5.000000000000000000e-01	4.500000000000000000e+01
3.926990816987241395e+00	-2.500000000000000000e-01	5.200000000000000000e+01
3.926990816987241395e+00	0.000000000000000000e+00	7.400000000000000000e+01
3.926990816987241395e+00	2.500000000000000000e-01	9.000000000000000000e+01
3.926990816987241395e+00	5.000000000000000000e-01	1.230000000000000000e+02
3.926990816987241395e+00	7.500000000000000000e-01	1.450000000000000000e+02
3.926990816987241395e+00	1.000000000000000000e+00	2.260000000000000000e+02
4.712388980384689674e+00	-1.000000000000000000e+00	9.500000000000000000e+01
4.712388980384689674e+00	-7.500000000000000000e-01	9.900000000000000000e+01
4.712388980384689674e+00	-5.000000000000000000e-01	1.280000000000000000e+02
4.712388980384689674e+00	-2.500000000000000000e-01	1.250000000000000000e+02
4.712388980384689674e+00	0.000000000000000000e+00	1.570000000000000000e+02
4.712388980384689674e+00	2.500000000000000000e-01	1.910000000000000000e+02
4.712388980384689674e+00	5.000000000000000000e-01	1.820000000000000000e+02
4.712388980384689674e+00	7.500000000000000000e-01	2.070000000000000000e+02
4.712388980384689674e+00	1.000000000000000000e+00	2.150000000000000000e+02
5.497787143782137953e+00	-1.000000000000000000e+00	7.900000000000000000e+01
5.497787143782137953e+00	-7.500000000000000000e-01	1.520000000000000000e+02
5.497787143782137953e+00	-5.000000000000000000e-01	1.910000000000000000e+02
5.497787143782137953e+00	-2.500000000000000000e-01	2.200000000000000000e+02
5.497787143782137953e+00	0.000000000000000000e+00	2.450000000000000000e+02
5.497787143782137953e+00	2.500000000000000000e-01	2.620000000000000000e+02
5.497787143782137953e+00	5.000000000000000000e-01	2.610000000000000000e+02
5.497787143782137953e+00	7.500000000000000000e-01	2.720000000000000000e+02
5.497787143782137953e+00	1.000000000000000000e+00	2.300000000000000000e+02
6.283185307179586232e+00	-1.000000000000000000e+00	7.300000000000000000e+01
6.283185307179586232e+00	-7.500000000000000000e-01	1.830000000000000000e+02
6.283185307179586232e+00	-5.000000000000000000e-01	2.270000000000000000e+02
6.283185307179586232e+00	-2.500000000000000000e-01	2.540000000000000000e+02
6.283185307179586232e+00	0.000000000000000000e+00	2.620000000000000000e+02
6.283185307179586232e+00	2.500000000000000000e-01	2.820000000000000000e+02
6.283185307179586232e+00	5.000000000000000000e-01	2.850000000000000000e+02
6.283185307179586232e+00	7.500000000000000000e-01	2.900000000000000000e+02
6.283185307179586232e+00	1.000000000000000000e+00	2.150000000000000000e+02
